1;Jabón corporal;Jabón corporal premium para uso diario;55128.95;352;7;W940;309;4
2;Shampoo anticaspa;Shampoo anticaspa natural para uso diario;81361.76;996;7;E470;472;6
3;Chocolate con leche;Chocolate con leche eficaz para uso diario;45390.39;643;1;M680;316;5
4;Producto Genérico;Producto Genérico premium para uso diario;8782.01;233;12;L611;395;4
5;Producto Genérico;Producto Genérico de calidad para uso diario;130239.58;389;12;S094;142;7
6;Producto Genérico;Producto Genérico fresco para uso diario;56786.78;214;16;P727;343;4
7;Leche entera;Leche entera popular para uso diario;95976.79;546;9;Q595;373;3
8;Producto Genérico;Producto Genérico natural para uso diario;58159.41;947;15;V911;327;8
9;Ron oscuro;Ron oscuro duradero para uso diario;126742.08;794;4;I735;28;3
10;Shampoo anticaspa;Shampoo anticaspa duradero para uso diario;61372.39;67;7;K951;108;9
11;Jabón en barra;Jabón en barra de calidad para uso diario;99004.92;405;5;R143;452;10
12;Producto Genérico;Producto Genérico fresco para uso diario;41202.26;252;15;E636;381;8
13;Malvaviscos;Malvaviscos nuevo para uso diario;112558.04;438;1;N434;459;9
14;Mantequilla;Mantequilla duradero para uso diario;34459.47;141;9;M662;260;7
15;Producto Genérico;Producto Genérico económico para uso diario;129443.23;156;17;U126;321;2
16;Cucharas plásticas;Cucharas plásticas popular para uso diario;11402.1;390;18;X574;305;7
17;Producto Genérico;Producto Genérico eficaz para uso diario;129395.4;11;17;A467;348;1
18;Desinfectante;Desinfectante nuevo para uso diario;115752.61;348;5;C635;57;4
19;Producto Genérico;Producto Genérico fresco para uso diario;69151.11;976;15;J313;369;4
20;Desinfectante;Desinfectante fresco para uso diario;77136.89;108;5;X270;445;10
21;Producto Genérico;Producto Genérico eficaz para uso diario;92127.59;156;16;U010;191;2
22;Producto Genérico;Producto Genérico popular para uso diario;49975.1;19;13;S078;57;5
23;Maíz dulce;Maíz dulce de calidad para uso diario;10572.92;899;6;M290;290;1
24;Producto Genérico;Producto Genérico natural para uso diario;122771.44;778;12;N989;272;2
25;Frijoles enlatados;Frijoles enlatados natural para uso diario;142133.6;169;6;G712;135;8
26;Tenedores plásticos;Tenedores plásticos importado para uso diario;144725.71;951;18;H630;276;3
27;Producto Genérico;Producto Genérico importado para uso diario;149282.1;665;15;K798;191;7
28;Malvaviscos;Malvaviscos natural para uso diario;19908.62;230;1;X435;32;5
29;Whisky escocés;Whisky escocés popular para uso diario;83980.39;602;4;V711;112;0
30;Detergente líquido;Detergente líquido económico para uso diario;35883.38;927;5;W210;16;5
31;Atún en agua;Atún en agua eficaz para uso diario;37224.69;685;6;B460;248;3
32;Bebida energética;Bebida energética fresco para uso diario;109056.18;903;3;Y795;292;9
33;Producto Genérico;Producto Genérico de calidad para uso diario;118123.67;826;16;M290;208;3
34;Producto Genérico;Producto Genérico premium para uso diario;99529.45;362;17;G152;216;6
